Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
89.18.283,False,False,True,443488,,Islamic Art,1889,Textile fragment,Textile Fragment,,,,,,,,,,,,,,,,,,,3rd–4th century,200,399,"Wool, linen; plain weave, tapestry weave","H. 14 3/4 in. (37.5 cm)
W. 7 1/8 in. (18.1 cm)","Purchase by subscription, 1889",Made in,,,,Egypt,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/443488,,,"Metropolitan Museum of Art, New York, NY",Leaves,http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q33971
36.90.2853,False,False,True,225924,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,,,,,,,19th century,1800,1899,Silk,,"Gift of The United Piece Dye Works, 1936",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/225924,,,"Metropolitan Museum of Art, New York, NY",Leaves,http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q33971
C.I.51.97.22,False,False,False,104748,,Costume Institute,1951,Skirt,Skirt,American,,,,,,,,,,,,,,,,,,1913–14,1913,1914,wool,,"Purchase, Irene Lewisohn Bequest, 1951",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/104748,,,"Metropolitan Museum of Art, New York, NY",,,
66.543.3,False,False,True,639434,,Drawings and Prints,1966,Print,Portrait of Fénelon,,,,,Collection des Grands Hommes,709599988,Artist|Artist, |After,Pierre Michel Alix|Joseph Vivien,"French, Paris 1762–1817 Paris|French, Lyon before 1657–1734 Bonn", | ,"Alix, Pierre Michel|Vivien, Joseph",French|French,1762      |1657      ,1817      |1734      ,|,http://vocab.getty.edu/page/ulan/500044566|http://vocab.getty.edu/page/ulan/500013082,https://www.wikidata.org/wiki/Q2060281|https://www.wikidata.org/wiki/Q375783,1793,1793,1793,Color aquatint,Sheet: 12 7/8 × 10 5/16 in. (32.7 × 26.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/639434,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
1997.382.18,False,True,True,282021,,Photographs,1997,Photograph,Lady Ruthven,,,,,,1619925548417354,Artist|Artist|Photography Studio, | | ,David Octavius Hill|Robert  Adamson|Hill and Adamson,"British, Perth, Scotland 1802–1870 Edinburgh, Scotland|British, St. Andrews, Scotland 1821–1848 St. Andrews, Scotland|British, active 1843–1848", | | ,"Hill, David Octavius|Adamson, Robert|Hill and Adamson","British, Scottish|British, Scottish|British, Scottish",1802      |1821      |1843      ,1870      |1848      |1848      ,||,http://vocab.getty.edu/page/ulan/500019476|http://vocab.getty.edu/page/ulan/500010587|http://vocab.getty.edu/page/ulan/500041217,https://www.wikidata.org/wiki/Q722792|https://www.wikidata.org/wiki/Q509636|https://www.wikidata.org/wiki/Q3678920,ca. 1845,1843,1847,Salted paper print from paper negative,19.9 x 15 cm (7 13/16 x 5 7/8 in.),"The Rubel Collection, Purchase, Manfred Heiting and Lila Acheson Wallace Gifts, 1997",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/282021,https://www.wikidata.org/wiki/Q104213305,,"Metropolitan Museum of Art, New York, NY",Women|Portraits,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q134307
63.350.202.25.47,False,False,True,420700,,Drawings and Prints,1963,Print,"Captain Zalinski, printer's sample for the World's Inventors souvenir album (A25) for Allen & Ginter Cigarettes",,,,,,16158,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia", ,Allen & Ginter,American,          ,          ,,(not assigned),https://www.wikidata.org/wiki/Q4731490,1888,1888,1888,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/420700,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
31.3.64,False,False,False,561895,106,Egyptian Art,1931,Sphinx figurine,Sphinx Figurine,,Middle Kingdom,Dynasty 11,,,,,,,,,,,,,,,,ca. 2030–1640 B.C.,-2030,-1640,Wood,L. 9 × H. 4 cm (3 9/16 × 1 9/16 in.),"Rogers Fund, 1931",From,,,,Egypt,"Upper Egypt, Thebes",Asasif,Tomb MMA 816,pit,"MMA excavations, 1929–30",,,,http://www.metmuseum.org/art/collection/search/561895,https://www.wikidata.org/wiki/Q116438585,,"Metropolitan Museum of Art, New York, NY",,,
41.12.93,False,False,False,339097,,Drawings and Prints,1941,Print; Poster,New York Ledger: Bicycle Number,,,,,,7366318780,Artist|Publisher, | ,Henry Brevoort Eddy|New York Ledger,"American, New York 1872–1935 Rye, New York|American, 1855–1898", | ,"Eddy, Henry Brevoort|New York Ledger",American|American,1872      |1855      ,1935      |1898      ,|,http://vocab.getty.edu/page/ulan/500524813|,https://www.wikidata.org/wiki/Q63088611|,1895,1895,1895,Lithograph,"Sheet: 13 9/16 × 16 1/4 in. (34.5 × 41.2 cm)
Image: 11 1/2 × 13 7/8 in. (29.2 × 35.3 cm)","Gift of Bessie Potter Vonnoh, 1941",,,,,,,,,,,,Prints|Posters,,http://www.metmuseum.org/art/collection/search/339097,,,"Metropolitan Museum of Art, New York, NY",Women|Dogs|Bicycles,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300212636,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q11442
2005.100.505.1 (29b),False,False,True,288529,,Photographs,1999,Photograph,Cobbler,,,,,,6036,Artist, ,Suzuki Shin'ichi,"Japanese, 1835–1919", ,"Suzuki, Shin'ichi",Japanese,1835      ,1919      ,,,,1870s,1870,1879,Albumen silver print from glass negative with applied color,25.3 x 20.2 cm (9 15/16 x 7 15/16 in.),"Gilman Collection, Museum Purchase, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/288529,,,"Metropolitan Museum of Art, New York, NY",Portraits|Men|Working|Shoes,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300412186|http://vocab.getty.edu/page/aat/300046065,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q6958747|https://www.wikidata.org/wiki/Q22676
2005.100.1269,False,False,True,285858,,Photographs,2005,Photograph,"Cathedral Rock, Down the Valley",,,,,,5484,Artist, ,Carleton E. Watkins,"American, 1829–1916", ,"Watkins, Carleton E.",American,1829      ,1916      ,,http://vocab.getty.edu/page/ulan/500002731,https://www.wikidata.org/wiki/Q2939083,1861,1861,1861,Albumen silver print from glass negative,"Image: 16 1/2 × 20 9/16 in. (41.9 × 52.3 cm)
Mount: 21 5/16 in. × 26 7/16 in. (54.1 × 67.2 cm)
","Gilman Collection, Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/285858,,,"Metropolitan Museum of Art, New York, NY",Rivers|Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
